,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,,,,
DEPALLETIZER TO FILLER,2,739,79,892,78,37,124,,,,
FILLER TO CAPPER,394,6,2430,1897,2000,1735,1,,,,
CAPPER TO DUD DETECTOR,369,19,4013,28512,1044,4127,-11,,,,
DUD DETECTOR TO LABELER,4538,-7070,-5693,-29711,-2510,-5728,86,,,,
LABELER TO TRAYMAKER,180,5032,2720,253,553,400,-84,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,