DAY,DEPALLETIZER ,FILLER ,CAPPER,DUD DETECTOR,LABELER ,TRAYMAKER
March 16,14728,14710,12951,7913,7857,7127
March 20,18464,18400,15858,7359,6975,6322
March 21,37347,37328,36375,29665,29471,29368
March 22,37452,37428,36437,34321,34068,33736
March 23,100423,100117,97264,91731,91617,90858
March 27,75997,75709,73937,70185,70096,69362
March 28,25476,25384,25302,17868,17762,17640
March 29,122140,122078,121863,112672,102387,91918
April 3,136292,136242,136162,126619,125726,124902
April 4,135137,135081,134894,133917,132813,130112
April 5,146042,145991,145692,143915,143615,143472
April 6,1037686,1016153,971138,926360,925852,923006
April 11,146283,146207,145956,137550,136757,135670
April 12,122641,122583,122387,112754,112334,110326