DAY,DEPALLETIZER TO FILLER,FILLER TO CAPPER,CAPPER TO DUD DETECTOR,DUD DETECTOR TO LABELER,LABELER TO TRAYMAKER
March 16,0.24,0.23,0.66,0.01,0.10
March 20,0.53,0.21,0.70,0.03,0.05
March 21,0.24,0.12,0.84,0.02,0.01
March 22,0.65,0.27,0.57,0.07,0.09
March 23,3.20,0.30,0.58,0.01,0.08
March 27,4.34,0.27,0.57,0.01,0.11
March 28,1.17,0.01,0.95,0.01,0.02
March 29,0.21,0.01,0.30,0.34,0.35
April 3,0.44,0.01,0.84,0.08,0.07
April 4,1.11,0.04,0.19,0.22,0.54
April 5,1.98,0.12,0.69,0.12,0.06
April 6,18.78,0.39,0.39,0.00,0.02
April 11,0.72,0.02,0.79,0.07,0.10
April 12,0.47,0.02,0.78,0.03,0.16